duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,label,attack_type
0.03,234,133,0,0,0,1,0,0,0,129,3,0.175,0.89,0.063,0.932,7,3,1,probe
2.19,2247,1048,0,0,0,1,0,1,0,39,44,0.021,0.045,0.844,0.03,200,103,0,normal
0.02,190,74,0,0,0,2,0,0,0,483,12,0.151,0.426,0.055,0.879,22,10,1,probe
0.01,6767,0,0,0,0,1,0,0,0,469,307,0.997,0.0,0.935,0.012,2,2,1,dos
0.05,7770,0,0,0,0,0,0,0,0,233,284,0.86,0.042,0.972,0.049,5,9,1,dos
70.12,1077,9309,0,0,0,10,1,1,13,29,8,0.046,0.033,0.781,0.033,15,4,1,r2l_exfiltration
2.2,1130,1287,0,0,0,0,0,1,0,12,21,0.029,0.018,0.915,0.028,186,209,0,normal
2.65,1701,1620,0,0,0,4,0,1,0,20,10,0.036,0.035,0.873,0.041,109,103,0,normal
15.71,1970,1487,0,0,0,1,0,1,0,30,8,0.007,0.042,0.999,0.033,133,214,0,normal
11.89,1513,1083,0,0,0,2,0,1,0,15,15,0.009,0.019,0.958,0.06,214,74,0,normal
2.31,1439,1064,0,0,0,2,0,1,0,40,19,0.044,0.013,0.99,0.055,204,161,0,normal
4.32,1337,1068,0,0,0,3,0,1,0,24,31,0.015,0.05,0.81,0.088,250,51,0,normal
5.44,1681,1360,0,0,0,1,0,1,0,38,19,0.019,0.011,0.977,0.063,134,125,0,normal
48.68,1485,7395,0,0,0,20,0,1,19,1,1,0.099,0.078,0.841,0.031,21,3,1,r2l_exfiltration
3.89,1391,906,0,0,0,2,0,1,0,2,15,0.039,0.017,0.855,0.051,252,76,0,normal
2.66,1914,795,0,0,0,4,0,1,0,40,26,0.035,0.022,0.988,0.023,200,207,0,normal
0.16,3841,0,0,1,0,0,0,0,0,471,282,0.964,0.056,0.981,0.01,3,7,1,dos
0.05,226,144,0,0,0,0,0,0,0,174,3,0.199,0.404,0.194,0.841,164,5,1,probe
7.9,1162,1389,0,0,0,0,0,1,0,1,24,0.026,0.031,0.882,0.006,223,90,0,normal
21.82,1529,1124,0,0,0,4,0,1,0,32,34,0.047,0.006,0.945,0.053,205,247,0,normal
20.54,1592,757,0,0,0,4,0,1,0,10,20,0.02,0.031,0.965,0.055,102,244,0,normal
0.34,1336,1255,0,0,0,4,0,1,0,11,47,0.044,0.03,0.831,0.049,198,100,0,normal
4.38,1795,1759,0,0,0,1,0,1,0,34,28,0.017,0.02,0.982,0.002,115,142,0,normal
10.64,1902,1469,0,0,0,1,0,1,0,15,30,0.005,0.005,0.972,0.09,175,120,0,normal
1.32,2167,1336,0,0,0,0,0,1,0,15,36,0.038,0.016,0.982,0.063,151,199,0,normal
3.11,2361,789,0,0,0,2,0,1,0,43,10,0.034,0.0,0.994,0.013,242,161,0,normal
5.23,2446,1108,0,0,0,1,0,1,0,33,5,0.0,0.015,0.866,0.052,110,215,0,normal
1.06,1965,1392,0,0,0,2,0,1,0,1,6,0.048,0.019,0.984,0.056,191,245,0,normal
8.15,1109,1603,0,0,0,4,0,1,0,42,49,0.041,0.03,0.883,0.025,188,191,0,normal
2.12,1992,1300,0,0,0,3,0,1,0,5,27,0.021,0.024,0.879,0.078,218,94,0,normal
10.72,1362,1282,0,0,0,4,0,1,0,28,41,0.04,0.024,0.862,0.048,202,78,0,normal
13.51,1155,1162,0,0,0,1,0,1,0,14,6,0.006,0.03,0.955,0.021,251,90,0,normal
4.99,1531,1310,0,0,0,2,0,1,0,31,30,0.01,0.0,0.904,0.083,120,139,0,normal
3.19,1268,1670,0,0,0,0,0,1,0,13,12,0.019,0.021,0.883,0.039,212,127,0,normal
4.48,1428,1504,0,0,0,4,0,1,0,26,15,0.008,0.039,0.891,0.048,161,59,0,normal
0.1,153,128,0,0,0,1,0,0,0,222,15,0.09,0.977,0.158,0.719,141,18,1,probe
11.79,1591,1074,0,0,0,2,0,1,0,6,28,0.011,0.01,0.89,0.055,246,220,0,normal
5.66,1063,718,0,0,0,3,0,1,0,32,43,0.026,0.017,0.88,0.021,234,137,0,normal
15.4,1873,1355,0,0,0,2,0,1,0,32,24,0.047,0.041,0.981,0.069,246,154,0,normal
7.01,1304,1541,0,0,0,3,0,1,0,29,45,0.003,0.049,0.853,0.022,129,230,0,normal
13.42,1936,1166,0,0,0,2,0,1,0,18,30,0.048,0.036,0.911,0.085,148,192,0,normal
1.65,1014,1095,0,0,0,3,0,1,0,27,49,0.044,0.042,0.824,0.036,200,245,0,normal
0.43,1300,1128,0,0,0,4,0,1,0,4,38,0.024,0.042,0.943,0.017,102,62,0,normal
3.81,2309,1111,0,0,0,0,0,1,0,25,25,0.025,0.039,0.991,0.044,192,253,0,normal
0.96,1124,1072,0,0,0,1,0,1,0,2,2,0.02,0.03,0.944,0.026,192,239,0,normal
13.17,1298,1374,0,0,0,0,0,1,0,15,38,0.033,0.021,0.862,0.036,252,78,0,normal
0.69,1365,1027,0,0,0,3,0,1,0,7,6,0.026,0.019,0.954,0.016,233,215,0,normal
0.71,7568,0,0,2,0,0,0,0,0,322,439,0.858,0.037,0.942,0.048,3,8,1,dos
1.21,1426,1337,0,0,0,2,0,1,0,21,3,0.004,0.025,0.816,0.093,238,180,0,normal
8.79,1676,950,0,0,0,4,0,1,0,32,1,0.018,0.024,0.805,0.014,211,207,0,normal
10.6,1911,1218,0,0,0,0,0,1,0,38,23,0.042,0.048,0.939,0.049,248,133,0,normal
4.11,771,1444,0,0,0,0,0,1,0,37,41,0.007,0.01,0.814,0.047,243,138,0,normal
5.13,1200,2219,0,0,0,1,0,1,0,17,49,0.043,0.008,0.856,0.029,106,250,0,normal
2.16,844,1257,0,0,0,2,0,1,0,16,20,0.032,0.032,0.879,0.095,204,81,0,normal
3.86,2213,812,0,0,0,4,0,1,0,12,12,0.01,0.008,0.925,0.053,205,141,0,normal
0.29,8248,0,0,0,1,1,0,0,0,342,504,0.83,0.058,0.985,0.015,4,9,1,dos
6.11,2314,1434,0,0,0,3,0,1,0,14,34,0.048,0.047,0.965,0.065,181,219,0,normal
6.71,1670,960,0,0,0,3,0,1,0,43,30,0.019,0.047,0.977,0.056,115,213,0,normal
5.01,801,652,0,0,0,3,0,1,0,8,33,0.014,0.018,0.921,0.046,106,119,0,normal
5.34,1726,565,0,0,0,0,0,1,0,24,25,0.017,0.029,0.925,0.032,134,125,0,normal
33.99,1415,10076,0,0,0,21,0,1,4,12,2,0.045,0.042,0.948,0.174,6,3,1,r2l_exfiltration
8.12,1195,664,0,1,0,4,0,1,0,28,20,0.007,0.016,0.957,0.009,155,121,0,normal
1.59,1597,1270,0,0,0,2,0,1,0,5,48,0.026,0.003,0.977,0.011,127,170,0,normal
0.09,160,128,0,0,0,2,0,0,0,119,18,0.015,0.637,0.11,0.949,191,27,1,probe
3.11,366,1292,0,0,0,4,0,1,0,4,39,0.005,0.025,0.876,0.079,111,233,0,normal
0.68,6174,0,0,0,0,0,0,0,0,510,406,0.855,0.092,0.97,0.049,7,7,1,dos
5.0,1772,1124,0,0,0,3,0,1,0,15,19,0.047,0.028,0.89,0.088,222,132,0,normal
15.16,1977,1394,0,0,0,2,0,1,0,41,20,0.024,0.015,0.91,0.059,208,231,0,normal
6.7,1474,1090,0,0,0,4,0,1,0,11,16,0.042,0.003,0.858,0.024,176,89,0,normal
3.76,1049,1320,0,0,0,4,0,1,0,26,9,0.043,0.04,0.844,0.083,129,241,0,normal
7.41,1135,1603,0,0,0,1,0,1,0,25,42,0.014,0.038,0.873,0.092,164,101,0,normal
0.29,712,489,0,0,0,9,12,0,0,46,4,0.125,0.952,0.984,0.283,40,1,1,brute_force
0.56,1277,1467,0,0,0,2,0,1,0,35,29,0.033,0.047,0.861,0.089,122,100,0,normal
1.91,1706,899,0,0,0,3,0,1,0,10,12,0.014,0.021,0.936,0.036,159,251,0,normal
2.29,824,1385,0,0,0,4,0,1,0,9,40,0.02,0.033,0.83,0.04,126,149,0,normal
18.15,1661,1967,0,0,0,0,0,1,0,19,17,0.036,0.023,0.936,0.049,142,197,0,normal
1.02,669,1120,0,0,0,4,0,1,0,48,46,0.037,0.037,0.889,0.035,226,184,0,normal
1.42,1700,1368,0,0,0,0,0,1,0,26,47,0.035,0.045,0.887,0.048,145,128,0,normal
1.03,822,1090,0,0,0,3,0,1,0,7,40,0.049,0.04,0.978,0.079,196,63,0,normal
6.16,867,1310,0,0,0,4,0,1,0,18,33,0.016,0.032,0.849,0.066,165,180,0,normal
2.72,2112,1630,0,0,0,3,0,1,0,41,35,0.035,0.019,0.824,0.085,229,72,0,normal
7.78,1513,1349,0,0,0,4,0,1,0,28,36,0.033,0.02,0.813,0.072,134,169,0,normal
11.33,1582,1363,0,0,0,2,0,1,0,30,25,0.026,0.021,0.976,0.045,181,82,0,normal
15.86,1806,1022,0,0,0,0,0,1,0,20,42,0.03,0.038,0.997,0.001,154,236,0,normal
8.29,895,1681,0,0,0,0,0,1,0,44,26,0.011,0.021,0.919,0.085,189,125,0,normal
2.57,1425,1513,0,0,0,3,1,1,0,25,21,0.043,0.043,0.979,0.083,103,243,0,normal
0.61,773,427,0,0,0,2,15,0,2,86,4,0.046,0.726,0.719,0.093,43,2,1,brute_force
53.01,1106,12215,0,0,0,6,0,1,3,2,1,0.047,0.078,0.955,0.003,17,18,1,r2l_exfiltration
2.97,516,401,0,0,0,3,14,0,3,54,5,0.12,0.596,0.798,0.239,49,4,1,brute_force
0.99,8698,0,0,0,0,1,0,0,0,206,484,0.987,0.095,0.924,0.038,4,4,1,dos
0.55,1397,1389,0,0,0,0,0,1,0,41,22,0.031,0.019,0.841,0.02,222,240,0,normal
6.17,1515,1383,0,0,0,0,0,1,0,38,15,0.049,0.003,0.975,0.02,106,165,0,normal
2.62,665,916,0,0,0,2,0,1,0,45,24,0.032,0.002,0.946,0.016,231,234,0,normal
3.3,1731,1423,0,0,0,2,0,1,0,49,13,0.035,0.041,0.984,0.078,183,215,0,normal
0.02,193,120,0,0,0,2,0,0,0,320,19,0.14,0.804,0.033,0.741,148,3,1,probe
17.71,1296,1304,0,0,0,4,0,1,0,23,2,0.038,0.009,0.875,0.029,181,254,0,normal
8.91,1539,1548,0,0,0,4,0,1,0,42,25,0.002,0.006,0.979,0.078,246,164,0,normal
14.58,1639,14189,0,0,0,9,0,1,7,27,9,0.021,0.064,0.674,0.08,17,10,1,r2l_exfiltration
0.3,1002,581,0,0,0,4,0,1,0,6,26,0.046,0.022,0.889,0.085,182,248,0,normal
5.94,1094,1083,0,0,0,0,0,1,0,6,45,0.036,0.005,0.871,0.04,239,178,0,normal
7.18,334,791,0,0,0,3,0,1,0,38,38,0.002,0.023,0.988,0.087,196,241,0,normal
0.6,744,1066,0,0,0,2,0,1,0,3,10,0.045,0.047,0.957,0.091,211,168,0,normal
5.34,1956,903,0,0,0,0,0,1,0,1,34,0.002,0.013,0.913,0.032,202,225,0,normal
3.43,1477,882,0,0,0,3,0,1,0,19,49,0.038,0.022,0.987,0.076,102,237,0,normal
0.08,864,352,0,0,0,4,5,0,1,58,4,0.001,0.948,0.76,0.12,10,9,1,brute_force
69.69,1474,7454,0,0,0,26,0,1,13,27,3,0.021,0.064,0.664,0.088,20,11,1,r2l_exfiltration
0.71,1774,1175,0,0,0,1,0,1,0,41,20,0.045,0.044,0.981,0.046,154,199,0,normal
2.51,323,211,0,0,0,4,7,0,4,42,2,0.196,0.922,0.816,0.216,44,12,1,brute_force
1.09,1692,1176,0,0,0,0,0,1,0,26,35,0.001,0.049,0.859,0.023,198,130,0,normal
5.65,1250,1399,0,0,0,1,0,1,0,20,19,0.009,0.012,0.882,0.005,192,127,0,normal
4.11,1506,1039,0,0,0,2,0,1,0,31,32,0.026,0.009,0.952,0.1,172,87,0,normal
4.13,322,341,0,0,0,4,11,0,0,35,8,0.131,0.885,0.961,0.286,33,15,1,brute_force
3.23,1299,1424,0,0,0,3,0,1,0,43,26,0.017,0.003,0.993,0.017,254,164,0,normal
5.18,2135,2029,0,0,0,2,0,1,0,48,39,0.047,0.031,0.857,0.009,229,133,0,normal
1.29,1663,791,0,0,0,4,0,1,0,2,44,0.0,0.047,0.84,0.031,206,100,0,normal
0.71,6909,0,0,0,0,1,0,0,0,443,404,0.979,0.016,0.973,0.032,8,2,1,dos
3.93,1825,1765,0,0,0,1,0,1,0,30,37,0.034,0.005,0.859,0.045,186,207,0,normal
0.01,97,96,0,0,0,0,0,0,0,205,4,0.256,0.664,0.033,0.973,188,1,1,probe
6.86,1090,1890,0,0,0,0,0,1,0,49,20,0.023,0.01,0.852,0.032,205,125,0,normal
16.87,951,809,0,0,0,1,0,1,0,14,44,0.013,0.02,0.819,0.096,238,71,0,normal
2.1,1379,731,0,0,0,0,0,1,0,46,47,0.03,0.044,0.811,0.022,151,167,0,normal
1.96,1440,972,0,0,0,4,0,1,0,13,6,0.021,0.023,0.863,0.079,150,203,0,normal
4.63,1387,1149,0,0,0,0,0,1,0,29,9,0.048,0.046,0.997,0.026,194,108,0,normal
9.56,1564,1729,0,0,0,2,0,1,0,25,28,0.037,0.032,0.886,0.026,105,121,0,normal
0.41,1595,1422,0,0,0,3,0,1,0,2,22,0.013,0.019,0.918,0.006,164,86,0,normal
2.52,1476,424,0,0,0,2,0,1,0,5,15,0.005,0.002,0.842,0.001,218,199,0,normal
3.65,966,1264,0,0,0,0,0,1,0,22,25,0.042,0.033,0.883,0.067,104,167,0,normal
8.82,1327,1510,0,0,0,2,0,1,0,12,13,0.032,0.039,0.875,0.002,135,72,0,normal
2.43,1949,1236,0,0,0,1,0,1,0,14,25,0.05,0.045,0.939,0.046,183,80,0,normal
8.03,1278,1608,0,0,0,4,0,1,0,5,31,0.033,0.019,0.898,0.041,236,209,0,normal
3.57,1499,1198,0,0,0,4,0,1,0,25,49,0.03,0.014,1.0,0.024,106,211,0,normal
6.29,971,1408,0,0,0,4,0,1,0,12,30,0.005,0.034,0.858,0.04,111,157,0,normal
0.8,1817,1241,0,0,0,1,0,1,0,27,18,0.028,0.048,0.827,0.063,248,188,0,normal
3.07,1505,1133,0,0,0,2,0,1,0,6,36,0.015,0.004,0.952,0.059,185,71,0,normal
0.02,241,110,0,0,0,1,0,0,0,158,10,0.201,0.654,0.084,0.918,250,18,1,probe
16.48,674,1252,0,0,0,2,0,1,0,36,49,0.027,0.01,0.956,0.04,131,62,0,normal
0.52,1780,979,0,0,0,0,1,1,0,5,4,0.029,0.003,0.849,0.089,133,139,0,normal
15.13,1083,1167,0,0,0,3,0,1,0,48,7,0.034,0.048,0.931,0.038,190,181,0,normal
3.74,1171,1094,0,0,0,1,0,1,0,31,21,0.003,0.009,0.953,0.027,182,186,0,normal
5.66,1607,1338,0,0,0,1,0,1,0,18,6,0.036,0.027,0.879,0.046,227,149,0,normal
2.55,1576,1312,0,0,0,3,0,1,0,18,2,0.021,0.044,0.928,0.074,133,123,0,normal
3.32,1369,1262,0,0,0,3,0,1,0,32,47,0.04,0.04,0.858,0.025,176,223,0,normal
6.52,2316,942,0,0,0,2,0,1,0,42,42,0.007,0.003,0.875,0.014,180,196,0,normal
0.03,1289,1804,0,0,0,0,0,1,0,11,38,0.047,0.007,0.813,0.085,152,106,0,normal
2.23,997,1366,0,0,0,3,0,1,0,44,3,0.048,0.032,0.909,0.016,172,208,0,normal
0.69,1113,1473,0,0,0,4,0,1,0,45,36,0.026,0.038,0.862,0.0,200,148,0,normal
16.46,1049,1182,0,0,0,2,0,1,0,38,48,0.024,0.012,0.857,0.056,180,241,0,normal
3.88,1398,1265,0,0,0,3,0,1,0,7,12,0.037,0.028,0.907,0.029,221,252,0,normal
0.06,2002,990,0,0,0,4,0,1,0,42,45,0.032,0.026,0.957,0.084,202,208,0,normal
8.03,1294,1292,0,0,0,1,1,1,0,12,47,0.044,0.03,0.821,0.022,136,114,0,normal
1.13,8499,0,1,0,1,0,0,0,0,487,365,0.984,0.041,0.906,0.025,7,9,1,dos
25.7,571,1701,0,0,0,1,0,1,0,33,31,0.018,0.015,0.841,0.074,188,243,0,normal
0.89,1149,2041,0,0,0,4,0,1,0,36,34,0.012,0.017,0.924,0.073,196,192,0,normal
0.15,721,407,0,0,0,7,13,0,4,38,8,0.108,0.64,0.574,0.263,34,13,1,brute_force
13.81,1587,1166,0,0,0,0,0,1,0,30,6,0.015,0.018,0.897,0.07,192,237,0,normal
8.77,2511,1101,0,0,0,3,0,1,0,25,32,0.045,0.004,0.976,0.096,149,202,0,normal
15.52,1659,1084,0,0,0,3,0,1,0,32,11,0.016,0.011,0.992,0.026,241,238,0,normal
2.53,1340,1730,0,0,0,2,0,1,0,47,17,0.031,0.0,0.918,0.019,239,64,0,normal
20.67,1225,1770,0,0,0,0,0,1,0,23,3,0.045,0.033,0.996,0.076,193,198,0,normal
0.51,1583,880,0,0,0,3,0,1,0,39,11,0.042,0.032,0.998,0.066,111,250,0,normal
13.09,1942,1355,0,0,0,3,0,1,0,41,43,0.023,0.035,0.835,0.016,157,131,0,normal
2.88,1717,1182,0,0,0,2,0,1,0,16,27,0.037,0.0,0.986,0.056,237,128,0,normal
2.73,284,413,0,0,0,6,9,0,3,56,5,0.029,0.699,0.674,0.203,8,9,1,brute_force
3.08,983,848,0,0,0,1,0,1,0,37,25,0.013,0.003,0.854,0.043,138,240,0,normal
0.07,129,178,0,0,0,2,0,0,0,118,15,0.164,0.689,0.193,0.811,105,6,1,probe
14.03,1973,2028,0,0,0,2,0,1,0,17,26,0.044,0.039,0.931,0.048,108,166,0,normal
6.01,1682,1237,0,0,0,4,0,1,0,18,26,0.035,0.042,0.802,0.061,201,160,0,normal
3.36,767,268,0,0,0,5,4,0,1,57,2,0.16,0.837,0.827,0.086,27,5,1,brute_force
0.01,72,85,0,0,0,1,0,0,0,221,15,0.279,0.844,0.197,0.74,226,1,1,probe
3.03,1776,1380,0,0,0,2,1,1,0,3,18,0.001,0.042,0.965,0.079,201,178,0,normal
1.1,1833,576,0,0,0,3,0,1,0,46,41,0.039,0.004,0.943,0.056,166,158,0,normal
14.21,1566,1261,0,0,0,3,0,1,0,37,33,0.021,0.001,0.975,0.026,105,192,0,normal
0.64,1605,1056,0,0,0,3,0,1,0,49,30,0.02,0.043,0.847,0.053,138,176,0,normal
1.03,1914,1699,0,0,0,3,0,1,0,20,26,0.041,0.033,0.893,0.021,214,177,0,normal
5.57,2081,810,0,0,0,2,0,1,0,14,45,0.022,0.028,0.858,0.012,245,85,0,normal
1.33,1544,1060,0,0,0,3,0,1,0,33,20,0.002,0.015,0.978,0.051,123,156,0,normal
4.05,1636,1175,0,0,0,0,0,1,0,20,17,0.046,0.002,0.929,0.095,203,250,0,normal
0.06,130,96,0,0,0,0,0,0,0,180,19,0.039,0.712,0.151,0.733,19,9,1,probe
4.68,1857,1100,0,0,0,0,0,1,0,26,7,0.034,0.022,0.851,0.072,100,158,0,normal
9.22,1143,1180,0,0,0,3,0,1,0,9,40,0.007,0.032,0.857,0.047,193,78,0,normal
46.72,456,8556,0,0,0,27,0,1,18,4,4,0.063,0.074,0.788,0.195,8,16,1,r2l_exfiltration
3.05,509,502,0,0,0,1,10,0,3,88,1,0.146,0.52,0.502,0.074,1,6,1,brute_force
1.45,1739,982,0,0,0,1,0,1,0,15,14,0.04,0.003,0.94,0.058,234,223,0,normal
0.02,1424,1106,0,0,0,0,0,1,0,25,16,0.029,0.007,0.871,0.096,254,220,0,normal
10.03,1177,1656,0,0,0,3,0,1,0,41,28,0.027,0.026,0.879,0.063,139,197,0,normal
0.38,2003,1706,0,0,0,4,1,1,0,37,25,0.021,0.005,0.891,0.014,213,61,0,normal
1.29,1175,897,0,0,0,1,0,1,0,38,22,0.006,0.002,0.959,0.069,179,137,0,normal
4.89,1728,1531,0,0,0,0,0,1,0,3,43,0.027,0.009,0.933,0.021,180,206,0,normal
0.43,9276,0,0,1,0,1,0,0,0,264,312,0.966,0.076,0.913,0.001,3,1,1,dos
0.04,233,92,0,0,0,2,0,0,0,500,14,0.008,0.518,0.193,0.862,252,7,1,probe
2.51,652,286,0,0,0,5,6,0,1,38,6,0.058,0.812,0.935,0.199,37,14,1,brute_force
0.05,164,115,0,0,0,1,0,0,0,219,14,0.291,0.886,0.032,0.972,37,28,1,probe
2.01,1411,591,0,0,0,2,0,1,0,4,8,0.013,0.015,0.834,0.085,239,51,0,normal
5.76,540,388,0,0,0,4,9,0,4,59,6,0.145,0.721,0.757,0.118,11,8,1,brute_force
17.24,1139,1523,0,0,0,1,0,1,0,47,38,0.009,0.022,0.922,0.062,211,111,0,normal
4.37,1611,1252,0,0,0,4,0,1,0,45,27,0.006,0.025,0.884,0.025,208,88,0,normal
5.59,1829,1336,0,0,0,2,0,1,0,14,30,0.024,0.004,0.99,0.001,239,222,0,normal
4.68,1801,1402,0,0,0,4,0,1,0,39,21,0.007,0.011,0.95,0.08,204,195,0,normal
0.96,1577,1360,0,0,0,3,0,1,0,9,32,0.048,0.014,0.913,0.079,140,181,0,normal
8.64,996,1424,0,0,0,2,0,1,0,37,39,0.006,0.039,0.932,0.02,211,114,0,normal
0.88,1528,1148,0,0,0,2,0,1,0,5,11,0.001,0.042,0.874,0.027,156,112,0,normal
10.49,1402,1344,0,0,0,4,0,1,0,39,45,0.016,0.025,0.812,0.041,210,111,0,normal
8.65,1510,1297,0,0,0,3,0,1,0,40,36,0.048,0.04,0.999,0.006,232,247,0,normal
7.35,1366,1385,0,0,0,4,0,1,0,46,46,0.024,0.024,0.896,0.002,147,129,0,normal
6.27,2054,1076,0,0,0,4,0,1,0,15,20,0.013,0.008,0.826,0.097,115,250,0,normal
2.71,1934,507,0,0,0,3,0,1,0,9,46,0.012,0.041,0.88,0.08,223,210,0,normal
1.0,1704,2020,0,0,0,4,0,1,0,31,1,0.006,0.049,0.882,0.093,221,197,0,normal
2.06,1480,1235,0,0,0,4,0,1,0,20,28,0.049,0.045,0.882,0.016,143,244,0,normal
8.64,1007,748,0,0,0,1,0,1,0,4,18,0.024,0.016,0.957,0.0,123,216,0,normal
28.04,1028,1523,0,0,0,2,0,1,0,26,46,0.045,0.049,0.886,0.034,163,101,0,normal
2.33,1823,960,0,0,0,0,0,1,0,20,7,0.037,0.033,0.995,0.059,206,92,0,normal
0.82,1779,1561,0,0,0,4,0,1,0,20,3,0.013,0.002,0.842,0.076,128,144,0,normal
0.08,234,87,0,0,0,1,0,0,0,203,4,0.092,0.467,0.187,0.751,104,14,1,probe
7.98,977,1491,0,0,0,4,1,1,0,25,35,0.035,0.003,0.948,0.017,194,246,0,normal
3.3,1804,1124,0,0,0,4,0,1,0,16,20,0.026,0.003,0.866,0.065,136,229,0,normal
1.5,1588,1484,0,0,0,1,0,1,0,32,31,0.035,0.047,0.85,0.011,186,83,0,normal
0.53,1177,1577,0,0,0,2,0,1,0,9,19,0.002,0.034,0.946,0.069,182,132,0,normal
1.68,1085,1505,0,0,0,1,0,1,0,11,16,0.005,0.002,0.847,0.097,172,140,0,normal
72.0,914,4926,0,0,0,22,1,1,15,2,14,0.03,0.028,0.832,0.165,8,18,1,r2l_exfiltration
2.23,1586,1423,0,0,0,3,0,1,0,9,27,0.032,0.014,0.835,0.048,113,232,0,normal
1.96,2065,1156,0,0,0,1,0,1,0,5,14,0.001,0.047,0.964,0.089,126,134,0,normal
1.83,1146,1819,0,0,0,4,0,1,0,31,43,0.008,0.037,0.996,0.066,230,237,0,normal
4.26,2024,1210,0,0,0,4,0,1,0,40,40,0.014,0.043,0.948,0.051,113,252,0,normal
0.05,122,93,0,0,0,1,0,0,0,334,6,0.26,0.461,0.107,0.754,131,6,1,probe
8.19,1271,1206,0,0,0,4,0,1,0,44,12,0.036,0.024,0.826,0.019,144,248,0,normal
2.53,2028,1106,0,0,0,3,0,1,0,6,41,0.036,0.026,0.926,0.071,148,170,0,normal
0.83,1574,1066,0,0,0,3,0,1,0,29,47,0.019,0.041,0.884,0.073,115,145,0,normal
0.17,1148,1432,0,0,0,2,0,1,0,26,47,0.022,0.011,0.974,0.052,178,130,0,normal
0.17,1078,872,0,0,0,4,0,1,0,2,7,0.0,0.001,0.868,0.094,173,120,0,normal
1.38,1346,1158,0,0,0,2,0,1,0,24,49,0.034,0.005,0.807,0.087,167,164,0,normal
0.54,1165,1125,0,0,0,1,0,1,0,46,24,0.028,0.028,0.905,0.078,123,76,0,normal
2.74,1426,1295,0,0,0,4,0,1,0,2,27,0.041,0.045,0.93,0.08,146,224,0,normal
13.76,1279,2001,0,0,0,1,0,1,0,19,40,0.039,0.014,0.97,0.001,104,95,0,normal
5.78,1123,272,0,0,0,7,11,0,2,58,5,0.066,0.98,0.876,0.243,2,3,1,brute_force
4.78,2143,1155,0,0,0,4,0,1,0,10,19,0.029,0.01,0.905,0.065,150,223,0,normal
9.07,1314,1107,0,0,0,4,0,1,0,17,19,0.047,0.037,0.918,0.032,180,129,0,normal
0.67,5893,0,0,0,1,0,0,0,0,293,260,0.939,0.015,0.963,0.042,1,7,1,dos
5.68,1705,1005,0,0,0,4,0,1,0,35,21,0.038,0.012,0.997,0.071,142,230,0,normal
1.81,1165,1103,0,0,0,2,0,1,0,16,33,0.01,0.028,0.878,0.036,131,85,0,normal
1.87,1309,1303,0,0,0,4,0,1,0,42,20,0.01,0.03,0.987,0.012,165,87,0,normal
10.33,1653,1197,0,0,0,0,0,1,0,33,17,0.034,0.019,0.962,0.002,215,136,0,normal
0.9,1508,930,0,0,0,0,0,1,0,46,41,0.004,0.009,0.958,0.04,179,172,0,normal
5.16,1717,991,0,0,0,0,0,1,0,13,1,0.013,0.026,0.87,0.032,152,202,0,normal
3.59,1491,985,0,0,0,4,0,1,0,13,4,0.037,0.027,0.894,0.017,216,234,0,normal
1.02,1775,1411,0,0,0,3,0,1,0,20,30,0.006,0.032,0.934,0.064,144,73,0,normal
1.12,1690,1512,0,0,0,2,0,1,0,26,45,0.027,0.025,0.9,0.061,139,156,0,normal
0.4,1792,928,0,0,0,4,0,1,0,39,41,0.005,0.031,0.952,0.062,213,243,0,normal
10.09,1763,989,0,0,0,3,0,1,0,37,7,0.016,0.013,0.883,0.08,102,78,0,normal
5.23,897,853,0,0,0,2,0,1,0,45,31,0.049,0.015,0.929,0.084,104,108,0,normal
13.27,1413,598,0,0,0,4,0,1,0,33,49,0.026,0.015,0.935,0.002,129,232,0,normal
3.93,2086,712,0,0,0,3,0,1,0,35,32,0.027,0.048,0.955,0.032,233,234,0,normal
3.65,1469,1196,0,0,0,1,0,1,0,7,47,0.023,0.035,0.925,0.021,216,138,0,normal
3.67,1835,940,0,0,0,2,0,1,0,4,34,0.018,0.035,0.854,0.027,167,53,0,normal
1.77,2374,1211,0,0,0,4,0,1,0,18,9,0.014,0.021,0.951,0.025,111,144,0,normal
5.82,1238,503,0,0,0,4,0,1,0,13,27,0.049,0.031,0.919,0.045,119,223,0,normal
4.71,1247,913,0,0,0,2,0,1,0,3,7,0.04,0.018,0.807,0.094,225,138,0,normal
0.46,1794,1204,0,0,0,0,0,1,0,43,38,0.006,0.031,0.898,0.039,112,204,0,normal
8.43,1667,1690,0,0,0,4,0,1,0,34,30,0.041,0.049,0.924,0.067,107,215,0,normal
4.72,1057,1389,0,0,0,4,0,1,0,29,12,0.024,0.001,0.897,0.021,107,113,0,normal
6.26,1916,956,0,0,0,3,0,1,0,16,6,0.049,0.005,0.945,0.003,198,103,0,normal
3.56,1752,1808,0,0,0,2,0,1,0,7,17,0.02,0.001,0.802,0.027,103,209,0,normal
16.69,1669,613,0,0,0,3,0,1,0,24,12,0.016,0.007,0.924,0.072,234,121,0,normal
0.36,1049,704,0,0,0,2,0,1,0,46,8,0.028,0.05,0.865,0.065,142,152,0,normal
